updated_utc,price_copper
2023-01-01T03:30:34Z,2362840000
2023-01-01T12:10:34Z,2489910000
2023-01-01T14:50:34Z,2387300000
2023-01-01T19:50:34Z,2484580000
2023-01-02T02:50:34Z,2377910000
2023-01-02T09:50:34Z,2484660000
2023-01-02T19:10:34Z,2396750000
2023-01-03T03:50:34Z,2407470000
2023-01-03T08:50:34Z,2460090000
2023-01-03T15:50:34Z,2490550000
2023-01-03T20:50:34Z,2404200000
2023-01-04T00:10:34Z,2434730000
2023-01-04T09:50:34Z,2392880000
2023-01-04T14:10:34Z,2346080000
2023-01-04T22:50:34Z,2399790000
2023-01-05T08:10:34Z,2421800000
2023-01-05T12:50:34Z,2356480000
2023-01-05T14:50:35Z,2394770000
2023-01-05T18:50:34Z,2331000000
2023-01-06T11:10:34Z,2382050000
2023-01-06T14:10:34Z,2308290000
2023-01-06T16:50:34Z,2348120000
2023-01-06T19:50:34Z,2302630000
2023-01-07T09:50:34Z,2354190000
2023-01-07T13:50:34Z,2268660000
2023-01-08T01:10:34Z,2298080000
2023-01-08T06:30:34Z,2339700000
2023-01-08T16:50:34Z,2284200000
2023-01-08T19:30:34Z,2349080000
2023-01-08T20:50:34Z,2386260000
2023-01-09T07:10:34Z,2513100000
2023-01-09T09:50:34Z,2459770000
2023-01-09T14:10:34Z,2288170000
2023-01-10T00:30:35Z,2312560000
2023-01-10T08:30:34Z,2455920000
2023-01-10T11:50:34Z,2396690000
2023-01-10T14:50:34Z,2296500000
2023-01-11T00:50:34Z,2322430000
2023-01-11T11:10:34Z,2260390000
2023-01-11T13:50:34Z,2315270000
2023-01-11T18:10:34Z,2192910000
2023-01-12T02:55:34Z,2264240000
2023-01-12T09:15:34Z,2375170000
2023-01-12T18:35:34Z,2217610000
2023-01-12T22:15:34Z,2310150000
2023-01-13T06:35:34Z,2348220000
2023-01-13T13:35:34Z,2243340000
2023-01-13T23:15:34Z,2299110000
2023-01-14T03:35:34Z,2236200000
2023-01-14T09:55:34Z,2355580000
2023-01-14T13:15:34Z,2216640000
2023-01-14T23:55:34Z,2269750000
2023-01-15T07:35:34Z,2311160000
2023-01-15T08:55:34Z,2311910000
2023-01-15T12:15:34Z,2240610000
2023-01-15T23:55:34Z,2294810000
2023-01-16T07:55:34Z,2349460000
2023-01-16T19:55:34Z,2266750000
2023-01-16T22:35:34Z,2346730000
2023-01-17T01:35:34Z,2354080000
2023-01-17T07:55:34Z,2468660000
2023-01-17T12:50:35Z,2385450000
2023-01-17T14:35:35Z,2302550000
2023-01-18T06:30:34Z,2430650000
2023-01-18T11:10:34Z,2304790000
2023-01-18T22:00:34Z,2341420000
2023-01-19T00:20:34Z,2414870000
2023-01-19T11:20:34Z,2439630000
2023-01-19T14:00:34Z,2376650000
2023-01-19T19:20:34Z,2361760000
2023-01-19T22:20:34Z,2473990000
2023-01-20T07:40:34Z,2507050000
2023-01-20T16:00:35Z,2382500000
2023-01-21T00:40:34Z,2347670000
2023-01-21T06:20:34Z,2469440000
2023-01-21T08:20:34Z,2488350000
2023-01-21T12:40:34Z,2343730000
2023-01-21T21:00:34Z,2470560000
2023-01-22T02:00:34Z,2397170000
2023-01-22T12:40:34Z,2367550000
2023-01-22T21:20:34Z,2458000000
2023-01-23T00:00:34Z,2430270000
2023-01-23T07:40:35Z,2622480000
2023-01-23T13:40:34Z,2405640000
2023-01-23T16:00:35Z,2514390000
2023-01-24T00:40:34Z,2501320000
2023-01-24T07:40:35Z,2797660000
2023-01-24T14:20:34Z,2435860000
2023-01-25T01:20:34Z,2577270000
2023-01-25T06:15:34Z,2633940000
2023-01-25T12:15:34Z,2355190000
2023-01-25T16:15:34Z,2551000000
2023-01-25T20:15:34Z,2382520000
2023-01-26T11:35:34Z,2408850000
2023-01-26T15:15:34Z,2569280000
2023-01-26T18:55:34Z,2396640000
2023-01-26T21:55:34Z,2496790000
2023-01-27T06:55:35Z,2493580000
2023-01-27T15:15:34Z,2418610000
2023-01-27T19:35:34Z,2391840000
2023-01-28T07:15:34Z,2483970000
2023-01-28T08:35:34Z,2477370000
2023-01-28T11:55:34Z,2377710000
2023-01-29T01:35:34Z,2392370000
2023-01-29T08:55:34Z,2457420000
2023-01-29T16:35:34Z,2382100000
2023-01-29T19:55:34Z,2507160000
2023-01-30T00:15:34Z,2419090000
2023-01-30T07:55:34Z,2597610000
2023-01-30T15:35:34Z,2512570000
2023-01-30T19:35:34Z,2409140000
2023-01-31T07:35:34Z,2512590000
2023-01-31T13:15:34Z,2423030000
2023-01-31T17:55:34Z,2415520000
