updated_utc,price_copper
2026-09-01T00:17:16Z,2603850000
2026-09-01T01:57:16Z,2602100000
2026-09-01T02:17:16Z,2608840000
2026-09-01T02:37:16Z,2623270000
2026-09-01T02:57:16Z,2640010000
2026-09-01T07:37:16Z,2675100000
2026-09-01T07:57:16Z,2673060000
2026-09-01T08:17:16Z,2672700000
2026-09-01T08:37:16Z,2672910000
2026-09-01T13:17:16Z,2647050000
2026-09-01T13:37:16Z,2646660000
2026-09-01T13:57:16Z,2645650000
2026-09-01T17:11:12Z,2619290000
2026-09-01T17:31:12Z,2615210000
2026-09-01T17:51:12Z,2610690000
2026-09-01T18:11:12Z,2607690000
2026-09-01T19:51:12Z,2620260000
2026-09-01T20:11:12Z,2624220000
2026-09-01T20:31:12Z,2621320000
2026-09-01T20:51:12Z,2619450000
2026-09-01T22:31:12Z,2572560000
2026-09-01T22:51:12Z,2571240000
2026-09-01T23:11:12Z,2573150000
2026-09-01T23:31:12Z,2585010000
2026-09-02T00:51:12Z,2618140000
2026-09-02T01:11:12Z,2605100000
2026-09-02T01:31:12Z,2592950000
2026-09-02T01:51:12Z,2584410000
2026-09-02T05:31:12Z,2635760000
2026-09-02T05:51:12Z,2638190000
2026-09-02T06:11:12Z,2643640000
2026-09-02T06:31:12Z,2646850000
2026-09-02T10:51:12Z,2618540000
2026-09-02T11:11:12Z,2614180000
2026-09-02T11:31:12Z,2606920000
2026-09-02T11:51:12Z,2599330000
2026-09-02T15:01:51Z,2638780000
2026-09-02T15:21:52Z,2633820000
2026-09-02T15:41:52Z,2623840000
2026-09-02T16:01:52Z,2626710000
2026-09-02T18:41:52Z,2622270000
2026-09-02T19:01:52Z,2625530000
2026-09-02T19:21:52Z,2624500000
2026-09-02T19:41:52Z,2621450000
2026-09-02T21:41:52Z,2612880000
2026-09-02T22:01:52Z,2609960000
2026-09-02T22:21:52Z,2603400000
2026-09-03T00:01:52Z,2601520000
2026-09-03T00:21:52Z,2617800000
2026-09-03T00:41:52Z,2626540000
2026-09-03T04:01:52Z,2633490000
2026-09-03T04:21:52Z,2627200000
2026-09-03T04:41:52Z,2621270000
2026-09-03T05:01:52Z,2614770000
2026-09-03T09:01:52Z,2634720000
2026-09-03T09:21:52Z,2634680000
2026-09-03T09:41:52Z,2634750000
2026-09-03T10:01:52Z,2631070000
2026-09-03T13:41:52Z,2664440000
2026-09-03T14:01:52Z,2658280000
2026-09-03T14:21:52Z,2652050000
2026-09-03T14:41:52Z,2644970000
2026-09-03T17:41:52Z,2587280000
2026-09-03T18:01:52Z,2565390000
2026-09-03T18:21:52Z,2542270000
2026-09-03T18:41:52Z,2519260000
2026-09-03T20:41:52Z,2503510000
2026-09-03T21:01:52Z,2524810000
2026-09-03T21:21:52Z,2539820000
2026-09-03T21:41:52Z,2554430000
2026-09-03T23:01:52Z,2540460000
2026-09-03T23:21:52Z,2527030000
2026-09-03T23:41:52Z,2512420000
2026-09-04T00:01:52Z,2495500000
2026-09-04T01:01:52Z,2455670000
2026-09-04T01:21:52Z,2468230000
2026-09-04T01:41:52Z,2480680000
2026-09-04T02:01:52Z,2494740000
2026-09-04T06:21:52Z,2479720000
2026-09-04T06:41:52Z,2487980000
2026-09-04T07:01:52Z,2493250000
2026-09-04T07:21:52Z,2498200000
2026-09-04T11:21:52Z,2530730000
2026-09-04T11:41:52Z,2520930000
2026-09-04T12:01:52Z,2509050000
2026-09-04T12:21:52Z,2499190000
2026-09-04T16:01:52Z,2503410000
2026-09-04T16:21:52Z,2503010000
2026-09-04T16:41:52Z,2490690000
2026-09-04T17:01:52Z,2475140000
2026-09-04T19:01:52Z,2467140000
2026-09-04T19:21:52Z,2484030000
2026-09-04T19:41:52Z,2500880000
2026-09-04T20:01:52Z,2506390000
2026-09-04T21:41:52Z,2468870000
2026-09-04T22:01:52Z,2461310000
2026-09-04T22:21:52Z,2455600000
2026-09-04T22:41:52Z,2445460000
2026-09-04T23:41:52Z,2391040000
2026-09-05T00:01:52Z,2380690000
2026-09-05T00:21:52Z,2370000000
2026-09-05T00:41:52Z,2361190000
2026-09-05T03:41:52Z,2447940000
2026-09-05T04:01:52Z,2453870000
2026-09-05T04:21:52Z,2459410000
2026-09-05T04:41:52Z,2462630000
2026-09-05T08:01:52Z,2493730000
2026-09-05T08:21:52Z,2500660000
2026-09-05T08:41:52Z,2505200000
2026-09-05T09:01:52Z,2503450000
2026-09-05T11:41:52Z,2509780000
2026-09-05T12:01:52Z,2505700000
2026-09-05T12:21:52Z,2502180000
2026-09-05T12:41:52Z,2496130000
2026-09-05T15:01:52Z,2435070000
2026-09-05T15:21:52Z,2439560000
2026-09-05T15:41:52Z,2447920000
2026-09-05T16:01:52Z,2447170000
2026-09-05T17:21:52Z,2425140000
2026-09-05T17:41:52Z,2411830000
2026-09-05T18:01:52Z,2398170000
2026-09-05T18:21:52Z,2388010000
2026-09-05T20:01:52Z,2425390000
2026-09-05T20:21:52Z,2421740000
2026-09-05T20:41:52Z,2407870000
2026-09-05T21:01:52Z,2392770000
2026-09-05T22:01:52Z,2384470000
2026-09-05T22:21:52Z,2385280000
2026-09-05T22:41:52Z,2385660000
2026-09-05T23:01:52Z,2385520000
2026-09-06T00:01:52Z,2376190000
2026-09-06T00:21:52Z,2375590000
2026-09-06T00:41:52Z,2391360000
2026-09-06T01:01:52Z,2407600000
2026-09-06T04:41:52Z,2442070000
2026-09-06T05:01:52Z,2440570000
2026-09-06T05:21:52Z,2432140000
2026-09-06T05:41:52Z,2423870000
2026-09-06T09:01:52Z,2364070000
2026-09-06T09:21:52Z,2367950000
2026-09-06T09:41:52Z,2374270000
2026-09-06T10:01:52Z,2379240000
2026-09-06T13:01:52Z,2419640000
2026-09-06T13:21:52Z,2424710000
2026-09-06T13:41:52Z,2434960000
2026-09-06T14:01:52Z,2441590000
2026-09-06T16:21:52Z,2406750000
2026-09-06T16:41:52Z,2401750000
2026-09-06T17:01:52Z,2397450000
2026-09-06T17:21:52Z,2395530000
2026-09-06T18:21:52Z,2405890000
2026-09-06T18:41:52Z,2409950000
2026-09-06T19:01:52Z,2411330000
2026-09-06T19:21:52Z,2413710000
2026-09-06T21:01:52Z,2389090000
2026-09-06T21:21:52Z,2383100000
2026-09-06T21:41:52Z,2375800000
2026-09-06T22:01:52Z,2370780000
2026-09-06T23:01:52Z,2361160000
2026-09-06T23:21:52Z,2360450000
2026-09-06T23:41:52Z,2370530000
2026-09-07T00:01:52Z,2385670000
2026-09-07T01:21:52Z,2432910000
2026-09-07T01:41:52Z,2439330000
2026-09-07T02:01:52Z,2446860000
2026-09-07T06:21:52Z,2381350000
2026-09-07T06:41:52Z,2376230000
2026-09-07T07:01:52Z,2377290000
2026-09-07T07:21:52Z,2384900000
2026-09-07T13:21:52Z,2447720000
2026-09-07T13:41:52Z,2447060000
2026-09-07T14:01:52Z,2442810000
2026-09-07T14:21:52Z,2439250000
2026-09-07T18:01:52Z,2382080000
2026-09-07T18:21:52Z,2378150000
2026-09-07T18:41:52Z,2375350000
2026-09-07T19:01:52Z,2377350000
2026-09-07T21:41:52Z,2437350000
2026-09-07T22:01:52Z,2433070000
2026-09-07T22:21:52Z,2436280000
2026-09-07T22:41:52Z,2440690000
2026-09-08T00:01:52Z,2435930000
2026-09-08T00:21:52Z,2423410000
2026-09-08T00:41:52Z,2412610000
2026-09-08T01:01:52Z,2400440000
2026-09-08T05:01:52Z,2466460000
2026-09-08T05:21:52Z,2485500000
2026-09-08T05:41:52Z,2501650000
2026-09-08T06:01:52Z,2517060000
2026-09-08T09:41:52Z,2585190000
2026-09-08T10:01:52Z,2592010000
2026-09-08T10:21:52Z,2598390000
2026-09-08T10:41:52Z,2602920000
2026-09-08T13:41:52Z,2608830000
2026-09-08T15:26:59Z,2605550000
2026-09-08T18:27:00Z,2423570000
2026-09-08T18:47:00Z,2399330000
2026-09-08T19:07:00Z,2385090000
2026-09-08T19:27:00Z,2389970000
2026-09-08T21:07:00Z,2441840000
2026-09-08T21:27:00Z,2443520000
2026-09-08T21:47:00Z,2443920000
2026-09-08T22:07:00Z,2442350000
2026-09-08T23:27:00Z,2395110000
2026-09-08T23:47:00Z,2384340000
2026-09-09T00:07:00Z,2381090000
2026-09-09T00:27:00Z,2394680000
2026-09-09T04:07:00Z,2486270000
2026-09-09T04:27:00Z,2487250000
2026-09-09T04:47:00Z,2483980000
2026-09-09T05:07:00Z,2481130000
2026-09-09T08:47:00Z,2409720000
2026-09-09T09:07:00Z,2404570000
2026-09-09T09:27:00Z,2399270000
2026-09-09T09:47:00Z,2395120000
2026-09-09T10:07:00Z,2392270000
2026-09-09T13:47:00Z,2553110000
2026-09-09T14:07:00Z,2560630000
2026-09-09T14:27:00Z,2569110000
2026-09-09T14:47:00Z,2581160000
2026-09-09T17:27:00Z,2634680000
2026-09-09T17:47:00Z,2624130000
2026-09-09T18:07:00Z,2612940000
2026-09-09T18:27:00Z,2601120000
2026-09-09T20:47:00Z,2488190000
2026-09-09T21:07:00Z,2473120000
2026-09-09T21:27:00Z,2457890000
2026-09-09T21:47:00Z,2445290000
2026-09-09T22:47:00Z,2413790000
2026-09-09T23:07:00Z,2412360000
2026-09-09T23:27:00Z,2411880000
2026-09-09T23:47:00Z,2415840000
2026-09-10T00:07:00Z,2419360000
2026-09-10T01:07:00Z,2447140000
2026-09-10T01:27:00Z,2459350000
2026-09-10T01:47:00Z,2468440000
2026-09-10T02:07:00Z,2470210000
2026-09-10T06:27:00Z,2485530000
