updated_utc,item_id,floor_copper,market_copper,quantity,lots,deal_qty,deal_cost
2026-08-06T21:41:44Z,251285,4750000,5149700,18108,651,2514,12810668600
2026-08-06T21:41:44Z,253307,3300000,3798800,4578,402,684,2408934100
2026-08-06T21:41:44Z,253403,18900,19000,1565371,61,22523,425684700
2026-08-06T21:41:44Z,255846,3150000,3150000,18824,54,0,0
2026-08-06T21:41:44Z,255847,436100,460000,69580,107,10239,4491680700
2026-08-06T21:41:44Z,259085,6358000,6379000,7815,475,1061,6749113900
2026-08-07T01:42:10Z,22456,250000,300500,56779,54,3013,756347700
2026-08-07T01:42:10Z,37663,4199800,5750000,7447,40,596,2846901600
2026-08-07T01:42:10Z,62784,49900,99900,405995,92,3442,256712000
2026-08-07T01:42:10Z,72092,43000,44200,535635,215,15007,661748200
2026-08-07T01:42:10Z,124117,19400,99800,179267,94,2985,86405700
2026-08-07T01:42:10Z,124669,85800,99900,165513,191,24428,2404374100
2026-08-07T01:42:10Z,124671,2147400,2485800,69017,259,8752,20308731600
2026-08-07T01:42:10Z,132514,830000,850000,80240,107,9978,8331767200
2026-08-07T01:42:10Z,151567,2300,650000,250416,167,3311,19226900
2026-08-07T01:42:10Z,152512,39200,40000,453954,75,3242,128139300
2026-08-07T01:42:10Z,152577,26400,26500,515316,145,173,4567200
2026-08-07T01:42:10Z,152877,277200,494500,48043,74,1597,447788200
2026-08-07T01:42:10Z,169332,180000,4008000,18498,84,301,522533700
2026-08-07T01:42:10Z,169333,430000,4000000,23322,84,681,470706300
2026-08-07T01:42:10Z,174353,19600,259400,105784,63,250,4939600
2026-08-07T01:42:10Z,213611,399900,498000,70705,107,10311,5084139200
2026-08-07T01:42:10Z,213612,455000,488900,30275,143,3638,1734091500
2026-08-07T01:42:10Z,236761,22400,29800,1007009,1095,122676,3235743900
2026-08-07T01:42:10Z,236771,76900,242400,93361,864,13792,3268503000
2026-08-07T01:42:10Z,236774,136500,140400,156855,835,22197,3058631200
2026-08-07T01:42:10Z,236775,450800,470000,47883,898,6686,3047435800
2026-08-07T01:42:10Z,236776,139400,152400,201185,1452,25484,3789753200
2026-08-07T01:42:10Z,236777,171800,492200,34229,891,3002,1473738300
2026-08-07T01:42:10Z,236780,4000000,4070900,25539,915,3606,14489571300
2026-08-07T01:42:10Z,236949,8800,10000,3894131,752,489337,4762873900
2026-08-07T01:42:10Z,237016,795000,795000,23125,186,0,0
2026-08-07T01:42:10Z,237017,542300,542300,41043,168,0,0
2026-08-07T01:42:10Z,237018,499600,499700,29455,209,8,3996800
2026-08-07T01:42:10Z,237359,95900,97500,172449,794,18879,1822780300
2026-08-07T01:42:10Z,237361,108800,336700,74649,533,10039,3219904800
2026-08-07T01:42:10Z,237362,111000,113700,211412,869,26531,2996000100
2026-08-07T01:42:10Z,237363,142700,412700,70227,612,8615,3523785100
2026-08-07T01:42:10Z,237365,132200,386100,102507,669,14366,5450104900
2026-08-07T01:42:10Z,237366,165400,197500,74062,357,7670,1385521100
2026-08-07T01:42:10Z,237373,3009900,3009900,1454,40,0,0
2026-08-07T01:42:10Z,238198,650000,650000,18660,170,0,0
2026-08-07T01:42:10Z,238203,2478500,2478500,8321,170,0,0
2026-08-07T01:42:10Z,238205,2328900,2329000,6648,111,2,4657800
2026-08-07T01:42:10Z,238213,180700,180700,81828,71,0,0
2026-08-07T01:42:10Z,238371,699300,727400,18684,216,2525,1790165100
2026-08-07T01:42:10Z,238382,312100,394800,38690,143,3080,1058784300
2026-08-07T01:42:10Z,238512,39800,47200,334151,722,36298,1547791800
2026-08-07T01:42:10Z,238529,39919700,40480000,3039,392,451,18103831500
2026-08-07T01:42:10Z,238530,7004200,7004200,2649,296,0,0
2026-08-07T01:42:10Z,239198,1355400,1498900,12779,71,1906,2634839000
2026-08-07T01:42:10Z,239200,1470000,1558900,16714,449,1481,2302117300
2026-08-07T01:42:10Z,239201,1774900,1795300,13563,81,1160,2059619500
2026-08-07T01:42:10Z,240975,9687100,9690100,1842,155,67,649059900
2026-08-07T01:42:10Z,240990,2347300,2407400,18822,112,2694,6324424800
2026-08-07T01:42:10Z,241304,1579800,1580000,9535,85,706,1115401800
2026-08-07T01:42:10Z,241308,1689800,1690000,40198,228,3641,6152909600
2026-08-07T01:42:10Z,241312,1453900,1594200,8102,84,373,594106700
2026-08-07T01:42:10Z,241320,4905400,4908000,3756,142,518,2540997200
2026-08-07T01:42:10Z,241324,4440000,4750000,6308,76,905,4115530000
2026-08-07T01:42:10Z,241326,4900000,5007500,4316,56,457,2242438200
2026-08-07T01:42:10Z,242273,3999700,3999800,5385,89,3,11999100
2026-08-07T01:42:10Z,242275,435800,464900,118472,114,16528,7233680600
2026-08-07T01:42:10Z,242620,822000,822000,35762,84,0,0
2026-08-07T01:42:10Z,242621,1769900,1920600,93087,154,7765,14519303200
2026-08-07T01:42:10Z,242639,54300,55400,433675,782,63363,3484622600
2026-08-07T01:42:10Z,242727,1553000,1559800,8952,77,315,489436500
2026-08-07T01:42:10Z,242786,850000,999100,26625,48,1344,1239566600
2026-08-07T01:42:10Z,243605,4003500,4444400,10273,702,1509,6494968800
2026-08-07T01:42:10Z,243606,6036600,6131100,7308,786,795,4840870600
2026-08-07T01:42:10Z,243953,15835900,15836000,1539,84,148,2343713200
2026-08-07T01:42:10Z,243957,16495900,16995900,1354,73,24,397901600
2026-08-07T01:42:10Z,243977,58881100,58887800,958,101,112,6594696400
2026-08-07T01:42:10Z,244003,26420000,26494800,1463,186,110,2906230000
2026-08-07T01:42:10Z,244021,11689700,11689900,810,106,12,140276700
2026-08-07T01:42:10Z,244029,37447600,37469800,2650,228,278,10411153400
2026-08-07T01:42:10Z,244634,24499300,24499300,1192,212,0,0
2026-08-07T01:42:10Z,245805,578200,578200,10242,71,0,0
2026-08-07T01:42:10Z,246448,425700,502500,30293,357,4307,2049917300
2026-08-07T01:42:10Z,251283,3712000,3930000,5252,488,564,2131825600
2026-08-07T01:42:10Z,251285,5014300,5109800,17469,696,2583,13156877400
2026-08-07T01:42:10Z,253307,2999900,3798800,4515,340,566,1982998300
2026-08-07T01:42:10Z,253403,18500,19900,2176994,86,218440,4148109400
2026-08-07T01:42:10Z,255846,3140000,3180000,12040,37,1191,3750177800
2026-08-07T01:42:10Z,255847,430500,448800,71030,91,10609,4631396900
2026-08-07T01:42:10Z,259085,5719800,6358500,8262,668,1232,7605100100
2026-08-07T02:41:56Z,22456,250000,300500,56807,55,3041,763346700
2026-08-07T02:41:56Z,37663,4199800,5750000,7457,41,606,2888899600
2026-08-07T02:41:56Z,62784,49900,99900,405922,90,3369,249693500
2026-08-07T02:41:56Z,72092,43000,44200,535829,216,15232,671423200
2026-08-07T02:41:56Z,124117,18900,99800,179987,97,3705,99809700
