updated_utc,item_id,floor_copper,market_copper,quantity
2026-08-11T02:41:44Z,117,100,100,527
2026-08-11T02:41:44Z,118,88600,98400,511
2026-08-11T02:41:44Z,159,200,200,2306
2026-08-11T02:41:44Z,414,1000,1000,85
2026-08-11T02:41:44Z,422,300,300,87
2026-08-11T02:41:44Z,537,1770000,2222200,24
2026-08-11T02:41:44Z,555,9500000100,9500000100,1
2026-08-11T02:41:44Z,556,49000200,49000200,23
2026-08-11T02:41:44Z,723,700,800,1428
2026-08-11T02:41:44Z,724,4000,4000,104
2026-08-11T02:41:44Z,729,290000100,290000100,1
2026-08-11T02:41:44Z,730,49000100,49000100,9
2026-08-11T02:41:44Z,731,289980100,289980100,1
2026-08-11T02:41:44Z,733,900,900,155
2026-08-11T02:41:44Z,765,38800,42100,10138
2026-08-11T02:41:44Z,769,7800,12800,25499
2026-08-11T02:41:44Z,770,44400,84400,25
2026-08-11T02:41:44Z,771,1200,2000,36
2026-08-11T02:41:44Z,774,17400,23900,4904
2026-08-11T02:41:44Z,779,1002000,1002000,28
2026-08-11T02:41:44Z,783,39500,47800,14234
2026-08-11T02:41:44Z,785,32500,115000,24172
2026-08-11T02:41:44Z,787,200,200,300
2026-08-11T02:41:44Z,813,100100,150100,29
2026-08-11T02:41:44Z,814,400,800,5325
2026-08-11T02:41:44Z,818,18000,23400,2755
2026-08-11T02:41:44Z,858,200,200,995
2026-08-11T02:41:44Z,878,290000100,290000100,2
2026-08-11T02:41:44Z,929,300,300,727
2026-08-11T02:41:44Z,954,1200,10000,47
2026-08-11T02:41:44Z,955,600,600,57
2026-08-11T02:41:44Z,961,10000,10000,94
2026-08-11T02:41:44Z,1015,2200,4200,12096
2026-08-11T02:41:44Z,1017,1800,1800,113
2026-08-11T02:41:44Z,1074,500,500,56
2026-08-11T02:41:44Z,1080,14400,14900,635
2026-08-11T02:41:44Z,1081,49000100,49000100,20
2026-08-11T02:41:44Z,1082,50300,50300,103
2026-08-11T02:41:44Z,1175,49000100,49000100,17
2026-08-11T02:41:44Z,1177,300,300,64
2026-08-11T02:41:44Z,1178,18744500,18744500,25
2026-08-11T02:41:44Z,1179,1000,1300,14445
2026-08-11T02:41:44Z,1180,100,200,114
2026-08-11T02:41:44Z,1181,1200,1200,129
2026-08-11T02:41:44Z,1205,100,100,177
2026-08-11T02:41:44Z,1206,191000,326500,2106
2026-08-11T02:41:44Z,1210,3400,15800,15553
2026-08-11T02:41:44Z,1222,200,49000100,33
2026-08-11T02:41:44Z,1251,100,100,1507
2026-08-11T02:41:44Z,1274,49000100,49000100,44
2026-08-11T02:41:44Z,1288,200,5200,13967
2026-08-11T02:41:44Z,1326,19990000,19990000,20
2026-08-11T02:41:44Z,1399,199999900,199999900,4
2026-08-11T02:41:44Z,1401,249990000,249990000,1
2026-08-11T02:41:44Z,1468,400,8100,818
2026-08-11T02:41:44Z,1475,19100,19100,9282
2026-08-11T02:41:44Z,1476,150000,150000,51
2026-08-11T02:41:44Z,1477,100,100,412
2026-08-11T02:41:44Z,1478,9781200,9781200,22
2026-08-11T02:41:44Z,1520,600,800,797
2026-08-11T02:41:44Z,1529,4500,14300,5575
2026-08-11T02:41:44Z,1630,1500000100,1500000100,1
2026-08-11T02:41:44Z,1645,2400,2400,5845
2026-08-11T02:41:44Z,1686,7400,9900000,103
2026-08-11T02:41:44Z,1687,2500,2500,24
2026-08-11T02:41:44Z,1688,290001300,290001300,1
2026-08-11T02:41:44Z,1696,2000,2000,61
2026-08-11T02:41:44Z,1697,500,500,58
2026-08-11T02:41:44Z,1701,1200,9900,44
2026-08-11T02:41:44Z,1702,30000,30000,57
2026-08-11T02:41:44Z,1703,95000000,95000000,4
2026-08-11T02:41:44Z,1705,9500,14500,7442
2026-08-11T02:41:44Z,1706,290000200,290000200,1
2026-08-11T02:41:44Z,1707,400,700,313
2026-08-11T02:41:44Z,1708,100,100,334
2026-08-11T02:41:44Z,1710,400,1000,815
2026-08-11T02:41:44Z,1711,700,800,387
2026-08-11T02:41:44Z,1712,232000,232000,38
2026-08-11T02:41:44Z,2070,2300,2300,87
2026-08-11T02:41:44Z,2091,199000000,199000000,2
2026-08-11T02:41:44Z,2251,8400,49900,14119
2026-08-11T02:41:44Z,2287,100,100,226
2026-08-11T02:41:44Z,2289,700,700,496
2026-08-11T02:41:44Z,2290,100,100,343
2026-08-11T02:41:44Z,2295,700,10700,29
2026-08-11T02:41:44Z,2296,299000100,299000100,1
2026-08-11T02:41:44Z,2304,2200,2200,715
2026-08-11T02:41:44Z,2313,1100,111100,61
2026-08-11T02:41:44Z,2318,1500,39700,74403
2026-08-11T02:41:44Z,2319,31600,35000,7376
2026-08-11T02:41:44Z,2320,300,300,1409810
2026-08-11T02:41:44Z,2321,6000,20900,267962
2026-08-11T02:41:44Z,2324,400,400,34446
2026-08-11T02:41:44Z,2325,1700,1800,19362
2026-08-11T02:41:44Z,2447,34700,75000,19863
2026-08-11T02:41:44Z,2449,28000,99400,21225
2026-08-11T02:41:44Z,2450,36700,39000,10660
2026-08-11T02:41:44Z,2452,44000,70900,15362
2026-08-11T02:41:44Z,2453,28300,35000,12278
2026-08-11T02:41:44Z,2454,100,100,2090
2026-08-11T02:41:44Z,2455,400,39000,676
2026-08-11T02:41:44Z,2456,400,400,123
2026-08-11T02:41:44Z,2457,98000,98000,271
2026-08-11T02:41:44Z,2458,2400,2500,259
2026-08-11T02:41:44Z,2459,94900,105000,875
2026-08-11T02:41:44Z,2460,352500,352500,1331
2026-08-11T02:41:44Z,2512,9900400,9900400,100
2026-08-11T02:41:44Z,2515,585000,585000,1760
2026-08-11T02:41:44Z,2516,5523800,5523800,960
2026-08-11T02:41:44Z,2519,9900000,9900000,111
2026-08-11T02:41:44Z,2581,900,900,456
2026-08-11T02:41:44Z,2589,600,7500,305834
2026-08-11T02:41:44Z,2590,5500000100,5500000100,1
2026-08-11T02:41:44Z,2591,990000100,990000100,1
2026-08-11T02:41:44Z,2592,900,900,241751
2026-08-11T02:41:44Z,2593,22300,160600,230
2026-08-11T02:41:44Z,2594,25600,80000,73
2026-08-11T02:41:44Z,2595,56300,56300,222
2026-08-11T02:41:44Z,2596,29700,29800,155
2026-08-11T02:41:44Z,2604,100,100,272290
2026-08-11T02:41:44Z,2605,100,30200,13890
2026-08-11T02:41:44Z,2608,170000,49000000,23
2026-08-11T02:41:44Z,2665,989800,989800,972
2026-08-11T02:41:44Z,2672,3400,122500,14837
2026-08-11T02:41:44Z,2673,25800,840000,2827
2026-08-11T02:41:44Z,2674,20500,26000,906
2026-08-11T02:41:44Z,2675,3700,4000,720
2026-08-11T02:41:44Z,2677,31500,35300,10419
2026-08-11T02:41:44Z,2678,100,100,53817
2026-08-11T02:41:44Z,2679,600,600,675
2026-08-11T02:41:44Z,2680,1500,1500,226
2026-08-11T02:41:44Z,2681,2300,2300,312
2026-08-11T02:41:44Z,2682,12800,12800,218
2026-08-11T02:41:44Z,2683,9900,9900,190
2026-08-11T02:41:44Z,2684,400,500,228
2026-08-11T02:41:44Z,2685,190000,190000,64
2026-08-11T02:41:44Z,2686,1999600,1999600,68
2026-08-11T02:41:44Z,2687,3000,3000,360
2026-08-11T02:41:44Z,2692,49000100,49000100,20
2026-08-11T02:41:44Z,2723,100,100,110
2026-08-11T02:41:44Z,2725,3988200,3988200,35
2026-08-11T02:41:44Z,2728,840200,841000,36
2026-08-11T02:41:44Z,2730,433700,433700,39
2026-08-11T02:41:44Z,2732,420000,422800,36
2026-08-11T02:41:44Z,2734,2324900,2324900,41
2026-08-11T02:41:44Z,2735,345100,345200,38
2026-08-11T02:41:44Z,2738,22432700,22432700,17
2026-08-11T02:41:44Z,2740,402000,402100,39
2026-08-11T02:41:44Z,2742,9964700,9964700,44
2026-08-11T02:41:44Z,2744,437100,437100,34
2026-08-11T02:41:44Z,2745,280000,288800,49
2026-08-11T02:41:44Z,2748,343800,343800,38
2026-08-11T02:41:44Z,2749,79800,79900,36
2026-08-11T02:41:44Z,2750,420000,429200,44
2026-08-11T02:41:44Z,2751,2900000,2901200,45
2026-08-11T02:41:44Z,2770,19100,25000,207882
2026-08-11T02:41:44Z,2771,18900,23500,60607
2026-08-11T02:41:44Z,2772,50000,50000,8069
2026-08-11T02:41:44Z,2775,143800,150000,1754
2026-08-11T02:41:44Z,2776,89300,92000,11093
2026-08-11T02:41:44Z,2798,3800,3800,121
2026-08-11T02:41:44Z,2799,200,200,309
2026-08-11T02:41:44Z,2835,1200,9900,1066085
2026-08-11T02:41:44Z,2836,2200,9000,85228
2026-08-11T02:41:44Z,2838,1600,10000,25431
2026-08-11T02:41:44Z,2840,22700,28000,26633
2026-08-11T02:41:44Z,2841,25000,26800,27252
2026-08-11T02:41:44Z,2842,167400,168700,3111
2026-08-11T02:41:44Z,2862,200,300,3831
2026-08-11T02:41:44Z,2863,100,100,180
2026-08-11T02:41:44Z,2871,600,600,201
2026-08-11T02:41:44Z,2880,100,400,2991
2026-08-11T02:41:44Z,2886,32300,49000,557
2026-08-11T02:41:44Z,2888,17500,17500,196
2026-08-11T02:41:44Z,2892,77800,77800,63
2026-08-11T02:41:44Z,2893,289999900,289999900,2
2026-08-11T02:41:44Z,2894,490100,2401300,70
2026-08-11T02:41:44Z,2924,5400,12300,1801
2026-08-11T02:41:44Z,2928,1500000100,1500000100,1
2026-08-11T02:41:44Z,2930,290000100,290000100,1
2026-08-11T02:41:44Z,2934,14900,55000,19900
2026-08-11T02:41:44Z,2940,7700,7700,25
2026-08-11T02:41:44Z,2946,198992300,198992300,3
2026-08-11T02:41:44Z,2947,199904700,199904700,1
2026-08-11T02:41:44Z,2996,4600,5100,12258
2026-08-11T02:41:44Z,2997,5900,8900,9192
2026-08-11T02:41:44Z,3010,10000,10000,91
2026-08-11T02:41:44Z,3012,9900,104700,56
2026-08-11T02:41:44Z,3013,8000,8000,66
2026-08-11T02:41:44Z,3030,7500000,7500000,100
2026-08-11T02:41:44Z,3033,4900000,4900100,201
2026-08-11T02:41:44Z,3107,3500000000,3500000000,1
2026-08-11T02:41:44Z,3108,3127968500,3430350100,208
2026-08-11T02:41:44Z,3111,3438351700,3438351700,1
2026-08-11T02:41:44Z,3137,19990000,19990000,10
2026-08-11T02:41:44Z,3164,14868800,14868800,39
2026-08-11T02:41:44Z,3167,10000,10000,67
2026-08-11T02:41:44Z,3168,49000100,49000100,20
2026-08-11T02:41:44Z,3169,700,700,38
2026-08-11T02:41:44Z,3170,200,200,65
2026-08-11T02:41:44Z,3171,20000,20000,28
2026-08-11T02:41:44Z,3172,49009900,49009900,11
2026-08-11T02:41:44Z,3173,3300,3400,6138
2026-08-11T02:41:44Z,3174,92281400,92281400,2
2026-08-11T02:41:44Z,3175,150200,150200,29
2026-08-11T02:41:44Z,3176,49000200,49000200,20
2026-08-11T02:41:44Z,3177,469200,48999100,24
2026-08-11T02:41:44Z,3179,49000200,49000200,20
2026-08-11T02:41:44Z,3180,200000,200000,55
2026-08-11T02:41:44Z,3181,25000,25000,36
2026-08-11T02:41:44Z,3182,990000,994800,93
2026-08-11T02:41:44Z,3220,1200,1200,377
2026-08-11T02:41:44Z,3239,4900,4900,208
2026-08-11T02:41:44Z,3240,3000,3000,76
2026-08-11T02:41:44Z,3241,7100,7100,45
2026-08-11T02:41:44Z,3299,2000,2500,310
2026-08-11T02:41:44Z,3300,70600,78700,160
2026-08-11T02:41:44Z,3301,200,200,136
2026-08-11T02:41:44Z,3340,5009700,5009700,88
2026-08-11T02:41:44Z,3355,34500,650000,10793
2026-08-11T02:41:44Z,3356,45500,46100,2656
2026-08-11T02:41:44Z,3357,63800,69100,28275
2026-08-11T02:41:44Z,3358,88800,95000,2564
2026-08-11T02:41:44Z,3369,149500,161900,3632
2026-08-11T02:41:44Z,3371,100,100,55927
2026-08-11T02:41:44Z,3372,49008800,49008800,74
2026-08-11T02:41:44Z,3382,1000,1000,322
2026-08-11T02:41:44Z,3383,9500,9900,221
2026-08-11T02:41:44Z,3385,100,100,510
2026-08-11T02:41:44Z,3386,89700,89700,1909
2026-08-11T02:41:44Z,3387,443900,597900,73
2026-08-11T02:41:44Z,3388,9600,9700,120
2026-08-11T02:41:44Z,3389,29800,29800,187
2026-08-11T02:41:44Z,3390,699900,699900,381
2026-08-11T02:41:44Z,3391,1900000,1900000,181
2026-08-11T02:41:44Z,3401,200000,200000,73
2026-08-11T02:41:44Z,3402,40000,59900,44
2026-08-11T02:41:44Z,3403,5600,6200,52
2026-08-11T02:41:44Z,3404,70000,78900,4485
2026-08-11T02:41:44Z,3448,9415400,9415400,79
2026-08-11T02:41:44Z,3464,1500000100,1500000100,1
2026-08-11T02:41:44Z,3465,5500000100,5500000100,101
2026-08-11T02:41:44Z,3466,1300,1300,4760
2026-08-11T02:41:44Z,3470,3900,4000,6892
2026-08-11T02:41:44Z,3478,9400,9400,1452
2026-08-11T02:41:44Z,3486,11900,15200,4225
2026-08-11T02:41:44Z,3530,900,900,317
2026-08-11T02:41:44Z,3531,8300,8300,218
2026-08-11T02:41:44Z,3575,59500,62100,7476
2026-08-11T02:41:44Z,3576,19900,22500,8654
2026-08-11T02:41:44Z,3577,90000,146500,3358
2026-08-11T02:41:44Z,3662,31000,31000,202
2026-08-11T02:41:44Z,3663,6000,6000,74
2026-08-11T02:41:44Z,3664,1600,1600,84
2026-08-11T02:41:44Z,3665,1400,1400,365
2026-08-11T02:41:44Z,3666,1800,7700,282
2026-08-11T02:41:44Z,3667,1900,2000,2393
2026-08-11T02:41:44Z,3669,171000,171000,59
2026-08-11T02:41:44Z,3670,460000,460000,136
2026-08-11T02:41:44Z,3671,4000,4000,46
2026-08-11T02:41:44Z,3673,1350000,1350000,137
2026-08-11T02:41:44Z,3674,1800,1800,50
2026-08-11T02:41:44Z,3676,57000,63300,68
2026-08-11T02:41:44Z,3685,3500,3700,20890
2026-08-11T02:41:44Z,3702,10000,49000000,21
2026-08-11T02:41:44Z,3703,9995800,9995800,20
2026-08-11T02:41:44Z,3712,7700,12400,13714
2026-08-11T02:41:44Z,3713,2220000,2220100,8
2026-08-11T02:41:44Z,3726,110800,110800,207
2026-08-11T02:41:44Z,3727,1846700,1846700,93
2026-08-11T02:41:44Z,3728,50000,50000,163
2026-08-11T02:41:44Z,3729,500,2000,175
2026-08-11T02:41:44Z,3730,2400,10000,1114
2026-08-11T02:41:44Z,3731,160000,790000,8169
2026-08-11T02:41:44Z,3745,81978000,81978000,9
2026-08-11T02:41:44Z,3769,450000100,450000100,1
2026-08-11T02:41:44Z,3770,100,200,389
2026-08-11T02:41:44Z,3771,100,100,330
