updated_utc,item_id,floor_copper,market_copper,quantity
2026-08-28T04:31:16Z,117,100,300,279
2026-08-28T04:31:16Z,118,600,600,862
2026-08-28T04:31:16Z,159,8900,9000,6722
2026-08-28T04:31:16Z,414,400,400,74
2026-08-28T04:31:16Z,422,400,400,76
2026-08-28T04:31:16Z,537,1500,49008000,22
2026-08-28T04:31:16Z,555,9500000100,9500000100,1
2026-08-28T04:31:16Z,556,49000200,49000200,20
2026-08-28T04:31:16Z,723,400,1000,4161
2026-08-28T04:31:16Z,724,1400,31400,55
2026-08-28T04:31:16Z,729,290000100,290000100,1
2026-08-28T04:31:16Z,730,49000100,49000100,8
2026-08-28T04:31:16Z,731,289990100,289990100,1
2026-08-28T04:31:16Z,732,88789600,88789600,3
2026-08-28T04:31:16Z,733,400,500,245
2026-08-28T04:31:16Z,765,20000,34500,48179
2026-08-28T04:31:16Z,769,6000,6200,39918
2026-08-28T04:31:16Z,770,13900,44000,24
2026-08-28T04:31:16Z,771,800,800,36
2026-08-28T04:31:16Z,774,10500,44800,50787
2026-08-28T04:31:16Z,779,49001400,49001400,22
2026-08-28T04:31:16Z,783,93600,93600,19882
2026-08-28T04:31:16Z,785,20100,23400,26165
2026-08-28T04:31:16Z,787,2000,2000,471
2026-08-28T04:31:16Z,813,50100,50100,25
2026-08-28T04:31:16Z,814,200,200,973
2026-08-28T04:31:16Z,818,11100,45000,33996
2026-08-28T04:31:16Z,858,200,300,611
2026-08-28T04:31:16Z,878,290000100,290000100,1
2026-08-28T04:31:16Z,929,200,300,684
2026-08-28T04:31:16Z,954,10900,10900,41
2026-08-28T04:31:16Z,955,1000,1000,169
2026-08-28T04:31:16Z,961,5000,5000,72
2026-08-28T04:31:16Z,1015,4900,4900,14902
2026-08-28T04:31:16Z,1017,300,300,831
2026-08-28T04:31:16Z,1074,1500,1500,41
2026-08-28T04:31:16Z,1080,1900,199900,1476
2026-08-28T04:31:16Z,1081,49000100,49000100,20
2026-08-28T04:31:16Z,1082,19400,9801000,43
2026-08-28T04:31:16Z,1175,49000100,49000100,17
2026-08-28T04:31:16Z,1177,200,200,32
2026-08-28T04:31:16Z,1178,18731700,18731700,40
2026-08-28T04:31:16Z,1179,100,1100,3010
2026-08-28T04:31:16Z,1180,1400,1500,105
2026-08-28T04:31:16Z,1181,800,900,147
2026-08-28T04:31:16Z,1205,200,200,143
2026-08-28T04:31:16Z,1206,140000,155900,425
2026-08-28T04:31:16Z,1210,9900,14200,94890
2026-08-28T04:31:16Z,1222,49000100,49000100,20
2026-08-28T04:31:16Z,1251,200,200,838
2026-08-28T04:31:16Z,1274,49000100,49000100,44
2026-08-28T04:31:16Z,1288,600,2800,11325
2026-08-28T04:31:16Z,1326,19990000,19990000,20
2026-08-28T04:31:16Z,1399,999990100,999990100,1
2026-08-28T04:31:16Z,1401,249990000,249990000,1
2026-08-28T04:31:16Z,1468,300,300,18256
2026-08-28T04:31:16Z,1475,10000,66200,6867
2026-08-28T04:31:16Z,1476,39400,39400,29
2026-08-28T04:31:16Z,1477,500,500,721
2026-08-28T04:31:16Z,1478,9781000,9781000,21
2026-08-28T04:31:16Z,1520,1500,1500,162
2026-08-28T04:31:16Z,1529,13300,21900,3700
2026-08-28T04:31:16Z,1630,990000100,990000100,1
2026-08-28T04:31:16Z,1645,2600,2900,398
2026-08-28T04:31:16Z,1686,9901100,9901100,101
2026-08-28T04:31:16Z,1687,42905000,49000400,21
2026-08-28T04:31:16Z,1688,290001300,290001300,1
2026-08-28T04:31:16Z,1696,1000,1000,34
2026-08-28T04:31:16Z,1697,1100700,1200700,54
2026-08-28T04:31:16Z,1701,1000,1000,26
2026-08-28T04:31:16Z,1702,150000,150000,31
2026-08-28T04:31:16Z,1703,196990000,196990000,2
2026-08-28T04:31:16Z,1705,8200,13200,14346
2026-08-28T04:31:16Z,1706,290000200,290000200,1
2026-08-28T04:31:16Z,1707,100,100,290
2026-08-28T04:31:16Z,1708,200,200,205
2026-08-28T04:31:16Z,1710,300,990000,239
2026-08-28T04:31:16Z,1711,4900,9500,1361
2026-08-28T04:31:16Z,1712,231200,231300,42
2026-08-28T04:31:16Z,2070,900,900,68
2026-08-28T04:31:16Z,2091,199000000,199000000,3
2026-08-28T04:31:16Z,2251,3100,12900,24668
2026-08-28T04:31:16Z,2287,100,200,245
2026-08-28T04:31:16Z,2289,200,200,404
2026-08-28T04:31:16Z,2290,500,600,728
2026-08-28T04:31:16Z,2295,400,400,37
2026-08-28T04:31:16Z,2296,290000100,290000100,2
2026-08-28T04:31:16Z,2304,300,500,434
2026-08-28T04:31:16Z,2313,5400,5400,54
2026-08-28T04:31:16Z,2318,12400,20800,43349
2026-08-28T04:31:16Z,2319,49900,62000,36083
2026-08-28T04:31:16Z,2320,100,100,2580889
2026-08-28T04:31:16Z,2321,1000,1100,83360
2026-08-28T04:31:16Z,2324,500,500,11096
2026-08-28T04:31:16Z,2325,2000,2000,37706
2026-08-28T04:31:16Z,2447,34300,34300,23176
2026-08-28T04:31:16Z,2449,19900,23500,64732
2026-08-28T04:31:16Z,2450,20000,37500,8996
2026-08-28T04:31:16Z,2452,20100,28300,20440
2026-08-28T04:31:16Z,2453,24500,35300,11998
2026-08-28T04:31:16Z,2454,26600,26700,273
2026-08-28T04:31:16Z,2455,200,200,328
2026-08-28T04:31:16Z,2456,900,900,33
2026-08-28T04:31:16Z,2457,85000,85000,613
2026-08-28T04:31:16Z,2458,25000,25000,793
2026-08-28T04:31:16Z,2459,70000,149900,5853
2026-08-28T04:31:16Z,2460,426400,450000,5570
2026-08-28T04:31:16Z,2512,2500000,2500000,500
2026-08-28T04:31:16Z,2515,350000,350000,2206
2026-08-28T04:31:16Z,2516,25000700,25000700,120
2026-08-28T04:31:16Z,2519,99900,246500,674
2026-08-28T04:31:16Z,2581,700,700,222
2026-08-28T04:31:16Z,2589,200,400,957931
2026-08-28T04:31:16Z,2590,5500000100,5500000100,1
2026-08-28T04:31:16Z,2591,990000100,990000100,1
2026-08-28T04:31:16Z,2592,1200,1400,289686
2026-08-28T04:31:16Z,2593,24200,24200,54
2026-08-28T04:31:16Z,2594,3100,3100,67
2026-08-28T04:31:16Z,2595,9900,17000,210
2026-08-28T04:31:16Z,2596,40200,40300,141
2026-08-28T04:31:16Z,2604,500,1000,327573
2026-08-28T04:31:16Z,2605,49900,50000,5920
2026-08-28T04:31:16Z,2608,12500,12500,26
2026-08-28T04:31:16Z,2665,270800,270800,969
2026-08-28T04:31:16Z,2672,5000,5000,4811
2026-08-28T04:31:16Z,2673,45000,490000,1460
2026-08-28T04:31:16Z,2674,26600,32700,2188
2026-08-28T04:31:16Z,2675,1000,1100,4060
2026-08-28T04:31:16Z,2677,17400,37400,8106
2026-08-28T04:31:16Z,2678,100,100,14542
2026-08-28T04:31:16Z,2679,5000,5000,448
2026-08-28T04:31:16Z,2680,5400,5500,469
2026-08-28T04:31:16Z,2681,1700,1700,145
2026-08-28T04:31:16Z,2682,2000,3500,106
2026-08-28T04:31:16Z,2683,1600,5000,215
2026-08-28T04:31:16Z,2684,2200,2200,184
2026-08-28T04:31:16Z,2685,990400,990400,59
2026-08-28T04:31:16Z,2686,709800,709800,50
2026-08-28T04:31:16Z,2687,18000,20000,366
2026-08-28T04:31:16Z,2692,49000100,49000100,40
2026-08-28T04:31:16Z,2723,1200,50100,55
2026-08-28T04:31:16Z,2725,722200,722200,35
2026-08-28T04:31:16Z,2728,1704300,1704300,37
2026-08-28T04:31:16Z,2730,504100,9960300,28
2026-08-28T04:31:16Z,2732,9990000,9990000,26
2026-08-28T04:31:16Z,2734,550000,550000,35
2026-08-28T04:31:16Z,2735,308800,308800,39
2026-08-28T04:31:16Z,2738,16810100,16810100,10
2026-08-28T04:31:16Z,2740,909900,9989900,27
2026-08-28T04:31:16Z,2742,504900,9954800,37
2026-08-28T04:31:16Z,2744,9993400,9993400,29
2026-08-28T04:31:16Z,2745,303700,603700,42
2026-08-28T04:31:16Z,2748,990000,990000,35
2026-08-28T04:31:16Z,2749,300000,550000,41
2026-08-28T04:31:16Z,2750,451600,451600,36
2026-08-28T04:31:16Z,2751,750000,750000,39
2026-08-28T04:31:16Z,2770,16200,23100,117546
2026-08-28T04:31:16Z,2771,17500,29000,90011
2026-08-28T04:31:16Z,2772,60100,103400,9847
2026-08-28T04:31:16Z,2775,121700,134900,4752
2026-08-28T04:31:16Z,2776,54900,69800,9733
2026-08-28T04:31:16Z,2798,64100,3999900,83
2026-08-28T04:31:16Z,2799,400,400,487
2026-08-28T04:31:16Z,2835,300,800,250868
